# SCE Subscribers @2019-10-09T19:19:48Z
# CSV line format: subscriber-id, domain, mappings, package-id
2ca17d6dad13,,78.29.183.51,1200
84948c091c10,,78.29.188.37,1100
a84e3f2d8650,,81.20.247.157,1100
f0f249587e20,,128.65.227.78,1030
2ca17d53d139,,128.65.240.16,1100
84948caa9d60,,78.29.165.14,1200
1cabc0eecf20,,78.29.172.199,1200
68b6fcec40f0,,78.29.179.144,1200
2ca17d638db5,,78.29.146.180,1100
0c473d10f310,,78.29.159.182,1200
0c473d0c3ce0,,78.29.161.92,1100
84948cab6f20,,78.29.167.53,1100
bc1401af1940,,81.20.244.5,1100
84948ca07620,,81.20.250.29,1100
0c473d158190,,128.65.224.181,1100
84948c0ee060,,128.65.228.83,1100
f0f24958ce20,,128.65.228.187,1200
0c473d10d6e0,,128.65.237.29,1100
00fc8d6bca10,,78.29.190.142,1100
0c473d119050,,78.29.129.171,1100
1cabc0cf7c60,,78.29.132.83,1200
a84e3f352720,,78.29.137.131,1100
84948ca59370,,78.29.138.237,1100
00fc8dbd2c20,,78.29.149.97,1200
00fc8dcead00,,78.29.169.250,1100
68b6fc8e3c50,,78.29.130.58,1120
84948ca76920,,81.20.247.24,1100
00fc8d6b8df0,,128.65.241.129,1100
2ca17d64513f,,128.65.253.220,1120
4434a72cdcc6,,128.65.254.250,1200
788df707dac0,,128.65.255.76,1100
0c473d1142f0,,78.29.166.218,1100
2ca17d6793c9,,78.29.131.74,1100
00fc8d6daeb0,,81.20.249.185,1100
84948caaa200,,78.29.161.225,1100
f0f24999af80,,81.20.253.37,1100
68b6fc8f3690,,128.65.237.198,1100
1cabc01ef880,,128.65.244.141,1020
2ca17d58fa65,,128.65.244.156,1100
00fc8d69f510,,78.29.187.64,1200
f0f24993c230,,78.29.135.154,1100
1cabc0df1dc0,,81.20.249.97,1200
f0f24959e890,,128.65.246.11,1100
00fc8d6c8dc0,,78.29.190.202,1100
0c473d12b620,,78.29.139.25,1100
a84e3f3557c0,,78.29.145.1,1100
bc14019f1fc0,,78.29.146.223,1100
a84e3f35d700,,78.29.131.76,1100
0c473d112980,,78.29.133.233,1060
bc1401a4caa0,,81.20.246.162,1100
2ca17d6c3a75,,128.65.239.23,1200
84948c092590,,128.65.244.179,1100
a84e3f345830,,78.29.175.194,1100
bc14019d8580,,78.29.182.213,1100
68b6fcebebe0,,78.29.130.30,1100
0c473d11f830,,128.65.236.112,1200
84948cf8b330,,128.65.240.199,1200
a84e3f2c7cf0,,78.29.163.224,1200
00fc8d6bc8b0,,78.29.134.31,1200
1cabc0cb0570,,78.29.141.2,1100
0c473d0c6ee0,,78.29.156.218,1100
f0f2499a1a40,,78.29.158.198,1100
2ca17d6bb807,,81.20.255.173,1200
a84e3f27b540,,128.65.240.134,1100
a84e3f3377a0,,128.65.243.244,1100
2ca17d5dfcc1,,128.65.254.121,1100
0005ca88e060,,78.29.165.20,1100
84948c0652e0,,78.29.189.197,1100
84948cf71560,,78.29.145.100,1200
bc4dfb50fe50,,78.29.147.50,1030
68b6fce3dc50,,128.65.239.135,1100
84948c66c8b0,,128.65.244.220,1100
a84e3f338460,,128.65.248.208,1100
bc1401b26d80,,78.29.169.170,1100
68b6fc902990,,78.29.174.248,1100
2ca17d6ab5e9,,78.29.187.139,1200
1cabc0dddcc0,,78.29.156.141,1100
8c5bf07d6182,,128.65.226.38,1100
1cabc0cb1290,,128.65.237.46,1100
0005caa81b80,,128.65.244.185,1100
a84e3f290c40,,78.29.161.202,1200
84948c09a9f0,,78.29.188.144,1100
0c473d0a8060,,78.29.168.157,1100
f0f24956a910,,78.29.183.240,1100
0c473d11ca00,,81.20.244.12,1100
2ca17d71c113,,81.20.244.199,1200
84948cf1d500,,81.20.245.100,1100
0005caa76840,,81.20.247.223,1020
a84e3f33a170,,81.20.250.166,1200
00fc8d6708d0,,78.29.160.218,1100
68b6fcec4240,,78.29.135.37,1120
a84e3f197d30,,78.29.156.240,1020
f0f249c637c0,,78.29.176.138,1100
a84e3f3142f0,,78.29.182.169,1100
2ca17d645b95,,81.20.254.23,1100
bc1401a6cdf0,,128.65.228.67,1100
f0f249c93910,,128.65.231.245,1200
0c473d133af0,,128.65.238.239,1100
0c473d10cab0,,78.29.160.35,1100
2ca17d6a4287,,78.29.169.127,1100
0c473d108810,,78.29.138.231,1100
4434a72cd90c,,81.20.249.216,1100
84948ca53b40,,128.65.236.206,1100
